Time[s], tx
0, 0
32.5320216, 1
32.563609, 0
42.5729542, 1
42.5743312, 0
52.6138872, 1
52.6152664, 0
62.65482, 1
62.6561968, 0
72.6957526, 1
72.6971316, 0
82.7366854, 1
82.7380644, 0
